Area_Name,Year,Subgroup,Victims_Upto_10_Yrs,Victims_Between_10-14_Yrs,Victims_Between_14-18_Yrs,Victims_Between_18-30_Yrs,Victims_Between_30-50_Yrs,Victims_Above_50_Yrs,Rape_Cases_Reported,Victims_of_Rape_Total
Arunachal Pradesh,2001,Victims of Other Rape,0,0,1,28,4,0,33,33
Arunachal Pradesh,2002,Total Rape Victims,0,0,3,30,5,0,38,38
Arunachal Pradesh,2002,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2002,Victims of Other Rape,0,0,3,30,5,0,38,38
Arunachal Pradesh,2003,Total Rape Victims,3,5,4,19,0,0,31,31
Arunachal Pradesh,2003,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,Victims of Other Rape,3,5,4,19,0,0,31,31
Arunachal Pradesh,2004,Total Rape Victims,2,9,0,31,0,0,42,42
Arunachal Pradesh,2004,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2004,Victims of Other Rape,2,9,0,31,0,0,42,42
Arunachal Pradesh,2005,Total Rape Victims,3,5,2,25,0,0,35,35
Arunachal Pradesh,2005,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2005,Victims of Other Rape,3,5,2,25,0,0,35,35
Arunachal Pradesh,2006,Total Rape Victims,0,0,0,34,3,0,37,37
Arunachal Pradesh,2006,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2006,Victims of Other Rape,0,0,0,34,3,0,37,37
Arunachal Pradesh,2007,Total Rape Victims,1,0,0,42,5,0,48,48
Arunachal Pradesh,2007,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2007,Victims of Other Rape,1,0,0,42,5,0,48,48
Arunachal Pradesh,2008,Total Rape Victims,4,7,0,31,0,0,42,42
Arunachal Pradesh,2008,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2008,Victims of Other Rape,4,7,0,31,0,0,42,42
Arunachal Pradesh,2009,Total Rape Victims,4,12,0,42,1,0,59,59
Arunachal Pradesh,2009,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2009,Victims of Other Rape,4,12,0,42,1,0,59,59
Arunachal Pradesh,2010,Total Rape Victims,2,10,0,34,1,0,47,47
Arunachal Pradesh,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2010,Victims of Other Rape,2,10,0,34,1,0,47,47
Assam,2001,Total Rape Victims,8,73,245,370,119,2,817,817
Assam,2001,Victims of Incest Rape,0,1,7,0,0,0,8,8
Assam,2001,Victims of Other Rape,8,72,238,370,119,2,809,809
Assam,2002,Total Rape Victims,0,0,3,621,346,0,970,970
Assam,2002,Victims of Incest Rape,0,0,0,5,5,0,10,10
Assam,2002,Victims of Other Rape,0,0,3,616,341,0,960,960
Assam,2003,Total Rape Victims,0,5,0,827,260,3,1095,1095
Assam,2003,Victims of Incest Rape,0,0,0,19,0,0,19,19
Assam,2003,Victims of Other Rape,0,5,0,808,260,3,1076,1076
Assam,2004,Total Rape Victims,7,0,0,857,293,14,1171,1171
Assam,2004,Victims of Incest Rape,0,0,0,14,1,0,15,15
Assam,2004,Victims of Other Rape,7,0,0,843,292,14,1156,1156
Assam,2005,Total Rape Victims,19,34,37,847,286,15,1238,1238
Assam,2005,Victims of Incest Rape,0,1,0,3,2,1,7,7
Assam,2005,Victims of Other Rape,19,33,37,844,284,14,1231,1231
Assam,2006,Total Rape Victims,8,21,32,892,289,2,1244,1244
Assam,2006,Victims of Incest Rape,0,3,0,6,3,0,12,12
Assam,2006,Victims of Other Rape,8,18,32,886,286,2,1232,1232
Assam,2007,Total Rape Victims,0,0,40,898,485,14,1437,1437
Assam,2007,Victims of Incest Rape,0,0,1,0,0,0,1,1
Assam,2007,Victims of Other Rape,0,0,39,898,485,14,1436,1436
Assam,2008,Total Rape Victims,2,5,20,849,541,21,1438,1438
Assam,2008,Victims of Incest Rape,0,0,0,5,2,0,7,7
Assam,2008,Victims of Other Rape,2,5,20,844,539,21,1431,1431
Assam,2009,Total Rape Victims,1,6,3,1230,377,14,1631,1631
Assam,2009,Victims of Incest Rape,0,0,0,7,2,0,9,9
Assam,2009,Victims of Other Rape,1,6,3,1223,375,14,1622,1622
Assam,2010,Total Rape Victims,1,9,29,1116,556,10,1721,1721
Assam,2010,Victims of Incest Rape,0,0,0,10,3,0,13,13
Assam,2010,Victims of Other Rape,1,9,29,1106,553,10,1708,1708
Bihar,2001,Total Rape Victims,1,15,198,562,112,0,888,888
Bihar,2001,Victims of Incest Rape,0,2,5,1,0,0,8,8
Bihar,2001,Victims of Other Rape,1,13,193,561,112,0,880,880
Bihar,2002,Total Rape Victims,0,2,2,805,231,0,1040,1040
Bihar,2002,Victims of Incest Rape,0,0,1,2,0,0,3,3
Bihar,2002,Victims of Other Rape,0,2,1,803,231,0,1037,1037
Bihar,2003,Total Rape Victims,1,1,1,686,296,0,985,985
Bihar,2003,Victims of Incest Rape,0,0,1,0,0,0,1,1
Bihar,2003,Victims of Other Rape,1,1,0,686,296,0,984,984
Bihar,2004,Total Rape Victims,0,3,0,1018,363,6,1390,1390
Bihar,2004,Victims of Incest Rape,0,0,0,5,1,0,6,6
Bihar,2004,Victims of Other Rape,0,3,0,1013,362,6,1384,1384
Bihar,2005,Total Rape Victims,0,6,2,872,267,0,1147,1147
Bihar,2005,Victims of Incest Rape,0,0,0,8,2,0,10,10
Bihar,2005,Victims of Other Rape,0,6,2,864,265,0,1137,1137
Bihar,2006,Total Rape Victims,0,0,17,956,250,9,1232,1232
Bihar,2006,Victims of Incest Rape,0,0,2,3,2,0,7,7
Bihar,2006,Victims of Other Rape,0,0,15,953,248,9,1225,1225
Bihar,2007,Total Rape Victims,9,28,79,1186,253,0,1555,1555
Bihar,2007,Victims of Incest Rape,0,2,0,0,0,0,2,2
Bihar,2007,Victims of Other Rape,9,26,79,1186,253,0,1553,1553
Bihar,2008,Total Rape Victims,0,11,80,1028,159,24,1302,1302
Bihar,2008,Victims of Incest Rape,0,0,0,1,2,0,3,3
Bihar,2008,Victims of Other Rape,0,11,80,1027,157,24,1299,1299
Bihar,2009,Total Rape Victims,12,19,32,765,101,0,929,929
Bihar,2009,Victims of Incest Rape,0,0,0,1,0,0,1,1
Bihar,2009,Victims of Other Rape,12,19,32,764,101,0,928,928
Bihar,2010,Total Rape Victims,8,17,89,616,65,0,795,795
Bihar,2010,Victims of Incest Rape,1,1,0,0,0,0,2,2
Bihar,2010,Victims of Other Rape,7,16,89,616,65,0,793,793
Chandigarh,2001,Total Rape Victims,0,8,4,4,3,0,18,19
Chandigarh,2001,Victims of Incest Rape,0,0,0,2,0,0,2,2
Chandigarh,2001,Victims of Other Rape,0,8,4,2,3,0,16,17
Chandigarh,2002,Total Rape Victims,1,4,1,9,3,0,18,18
Chandigarh,2002,Victims of Incest Rape,0,0,1,1,0,0,2,2
Chandigarh,2002,Victims of Other Rape,1,4,0,8,3,0,16,16
Chandigarh,2003,Total Rape Victims,3,1,5,7,2,0,18,18
Chandigarh,2003,Victims of Incest Rape,1,0,0,0,0,0,1,1
Chandigarh,2003,Victims of Other Rape,2,1,5,7,2,0,17,17
Chandigarh,2004,Total Rape Victims,5,5,3,5,1,0,19,19
Chandigarh,2004,Victims of Incest Rape,0,1,0,0,0,0,1,1
Chandigarh,2004,Victims of Other Rape,5,4,3,5,1,0,18,18
Chandigarh,2005,Total Rape Victims,7,4,10,5,7,0,33,33
Chandigarh,2005,Victims of Incest Rape,0,0,1,0,0,0,1,1
Chandigarh,2005,Victims of Other Rape,7,4,9,5,7,0,32,32
Chandigarh,2006,Total Rape Victims,3,2,6,4,4,0,19,19
Chandigarh,2006,Victims of Incest Rape,1,1,2,1,0,0,5,5
Chandigarh,2006,Victims of Other Rape,2,1,4,3,4,0,14,14
Chandigarh,2007,Total Rape Victims,3,3,2,11,3,0,22,22
Chandigarh,2007,Victims of Incest Rape,1,1,0,0,0,0,2,2
Chandigarh,2007,Victims of Other Rape,2,2,2,11,3,0,20,20
Chandigarh,2008,Total Rape Victims,2,3,7,7,1,0,20,20
Chandigarh,2008,Victims of Incest Rape,0,0,2,1,0,0,3,3
Chandigarh,2008,Victims of Other Rape,2,3,5,6,1,0,17,17
Chandigarh,2009,Total Rape Victims,3,8,10,8,0,0,29,29
Chandigarh,2009,Victims of Incest Rape,0,0,0,0,0,0,0,0
Chandigarh,2009,Victims of Other Rape,3,8,10,8,0,0,29,29
Chandigarh,2010,Total Rape Victims,4,8,4,15,0,0,31,31
Chandigarh,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Chandigarh,2010,Victims of Other Rape,4,8,4,15,0,0,31,31
Chhattisgarh,2001,Total Rape Victims,25,191,218,384,137,4,959,959
Chhattisgarh,2001,Victims of Incest Rape,0,3,1,1,1,0,6,6
Chhattisgarh,2001,Victims of Other Rape,25,188,217,383,136,4,953,953
Chhattisgarh,2002,Total Rape Victims,26,131,25,652,147,11,992,992
Chhattisgarh,2002,Victims of Incest Rape,2,13,18,16,11,3,63,63
Chhattisgarh,2002,Victims of Other Rape,24,118,7,636,136,8,929,929
Chhattisgarh,2003,Total Rape Victims,27,97,62,376,331,5,898,898
Chhattisgarh,2003,Victims of Incest Rape,1,2,16,13,7,0,39,39
Chhattisgarh,2003,Victims of Other Rape,26,95,46,363,324,5,859,859
Chhattisgarh,2004,Total Rape Victims,14,61,233,426,226,9,969,969
Chhattisgarh,2004,Victims of Incest Rape,2,6,30,30,9,1,78,78
Chhattisgarh,2004,Victims of Other Rape,12,55,203,396,217,8,891,891
Chhattisgarh,2005,Total Rape Victims,15,112,255,392,200,16,990,990
Chhattisgarh,2005,Victims of Incest Rape,1,10,33,39,27,0,110,110
Chhattisgarh,2005,Victims of Other Rape,14,102,222,353,173,16,880,880
Chhattisgarh,2006,Total Rape Victims,28,104,316,337,183,27,995,995
Chhattisgarh,2006,Victims of Incest Rape,6,12,33,29,15,2,97,97
Chhattisgarh,2006,Victims of Other Rape,22,92,283,308,168,25,898,898
Chhattisgarh,2007,Total Rape Victims,32,117,219,500,101,13,982,982
Chhattisgarh,2007,Victims of Incest Rape,2,10,31,14,6,0,63,63
Chhattisgarh,2007,Victims of Other Rape,30,107,188,486,95,13,919,919
Chhattisgarh,2008,Total Rape Victims,24,80,307,388,176,3,978,978
Chhattisgarh,2008,Victims of Incest Rape,0,3,15,12,1,0,31,31
Chhattisgarh,2008,Victims of Other Rape,24,77,292,376,175,3,947,947
Chhattisgarh,2009,Total Rape Victims,80,227,87,460,113,9,976,976
Chhattisgarh,2009,Victims of Incest Rape,1,2,8,6,5,2,24,24
Chhattisgarh,2009,Victims of Other Rape,79,225,79,454,108,7,952,952
Chhattisgarh,2010,Total Rape Victims,24,87,271,424,190,16,1012,1012
Chhattisgarh,2010,Victims of Incest Rape,0,2,3,13,3,0,21,21
Chhattisgarh,2010,Victims of Other Rape,24,85,268,411,187,16,991,991
Dadra & Nagar Haveli,2001,Total Rape Victims,0,0,3,3,0,0,6,6
Dadra & Nagar Haveli,2001,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2001,Victims of Other Rape,0,0,3,3,0,0,6,6
Dadra & Nagar Haveli,2002,Total Rape Victims,1,1,1,1,0,0,4,4
Dadra & Nagar Haveli,2002,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2002,Victims of Other Rape,1,1,1,1,0,0,4,4
Dadra & Nagar Haveli,2003,Total Rape Victims,0,0,0,1,0,0,1,1
Dadra & Nagar Haveli,2003,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2003,Victims of Other Rape,0,0,0,1,0,0,1,1
Dadra & Nagar Haveli,2004,Total Rape Victims,0,0,0,6,1,0,7,7
Dadra & Nagar Haveli,2004,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2004,Victims of Other Rape,0,0,0,6,1,0,7,7
Dadra & Nagar Haveli,2005,Total Rape Victims,0,0,0,5,0,0,5,5
Dadra & Nagar Haveli,2005,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2005,Victims of Other Rape,0,0,0,5,0,0,5,5
Dadra & Nagar Haveli,2006,Total Rape Victims,2,1,2,1,0,0,6,6
Dadra & Nagar Haveli,2006,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2006,Victims of Other Rape,2,1,2,1,0,0,6,6
Dadra & Nagar Haveli,2007,Total Rape Victims,1,2,4,0,0,0,7,7
Dadra & Nagar Haveli,2007,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2007,Victims of Other Rape,1,2,4,0,0,0,7,7
Dadra & Nagar Haveli,2008,Total Rape Victims,0,1,2,3,0,0,6,6
Dadra & Nagar Haveli,2008,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2008,Victims of Other Rape,0,1,2,3,0,0,6,6
Dadra & Nagar Haveli,2009,Total Rape Victims,0,2,0,2,0,0,4,4
Dadra & Nagar Haveli,2009,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2009,Victims of Other Rape,0,2,0,2,0,0,4,4
Dadra & Nagar Haveli,2010,Total Rape Victims,1,1,1,0,0,0,3,3
Dadra & Nagar Haveli,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2010,Victims of Other Rape,1,1,1,0,0,0,3,3
Daman & Diu,2001,Total Rape Victims,0,0,0,0,0,0,0,0
Daman & Diu,2001,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2001,Victims of Other Rape,0,0,0,0,0,0,0,0
Daman & Diu,2002,Total Rape Victims,0,0,0,0,0,0,0,0
Daman & Diu,2002,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2002,Victims of Other Rape,0,0,0,0,0,0,0,0
Daman & Diu,2003,Total Rape Victims,2,0,3,0,0,0,5,5
Daman & Diu,2003,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2003,Victims of Other Rape,2,0,3,0,0,0,5,5
Daman & Diu,2004,Total Rape Victims,0,0,1,0,0,0,1,1
Daman & Diu,2004,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2004,Victims of Other Rape,0,0,1,0,0,0,1,1
Daman & Diu,2005,Total Rape Victims,0,1,0,0,1,0,2,2
Daman & Diu,2005,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2005,Victims of Other Rape,0,1,0,0,1,0,2,2
Daman & Diu,2006,Total Rape Victims,1,0,0,2,0,0,3,3
Daman & Diu,2006,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2006,Victims of Other Rape,1,0,0,2,0,0,3,3
Daman & Diu,2007,Total Rape Victims,0,0,0,1,0,0,1,1
Daman & Diu,2007,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2007,Victims of Other Rape,0,0,0,1,0,0,1,1
Daman & Diu,2008,Total Rape Victims,0,0,0,0,0,0,0,0
Daman & Diu,2008,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2008,Victims of Other Rape,0,0,0,0,0,0,0,0
Daman & Diu,2009,Total Rape Victims,1,0,0,0,0,0,1,1
Daman & Diu,2009,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2009,Victims of Other Rape,1,0,0,0,0,0,1,1
Daman & Diu,2010,Total Rape Victims,1,0,0,0,0,0,1,1
Daman & Diu,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2010,Victims of Other Rape,1,0,0,0,0,0,1,1
Delhi,2001,Total Rape Victims,48,81,154,59,41,0,381,383
Delhi,2001,Victims of Incest Rape,3,3,2,1,0,0,9,9
Delhi,2001,Victims of Other Rape,45,78,152,58,41,0,372,374
Delhi,2002,Total Rape Victims,35,54,52,217,49,0,403,407
Delhi,2002,Victims of Incest Rape,4,6,12,10,0,0,32,32
Delhi,2002,Victims of Other Rape,31,48,40,207,49,0,371,375
Delhi,2003,Total Rape Victims,26,50,76,321,17,0,490,490
Delhi,2003,Victims of Incest Rape,1,5,11,4,0,0,21,21
Delhi,2003,Victims of Other Rape,25,45,65,317,17,0,469,469
Delhi,2004,Total Rape Victims,60,126,77,282,6,0,551,551
Delhi,2004,Victims of Incest Rape,1,7,6,2,0,0,16,16
Delhi,2004,Victims of Other Rape,59,119,71,280,6,0,535,535
Delhi,2005,Total Rape Victims,60,120,55,404,25,2,658,666
Delhi,2005,Victims of Incest Rape,11,9,10,2,0,0,32,32
Delhi,2005,Victims of Other Rape,49,111,45,402,25,2,626,634
Delhi,2006,Total Rape Victims,70,111,267,155,21,2,623,626
Delhi,2006,Victims of Incest Rape,3,4,12,7,0,0,26,26
Delhi,2006,Victims of Other Rape,67,107,255,148,21,2,597,600
Delhi,2007,Total Rape Victims,76,94,228,179,24,1,598,602
Delhi,2007,Victims of Incest Rape,2,2,9,5,0,0,18,18
Delhi,2007,Victims of Other Rape,74,92,219,174,24,1,580,584
Delhi,2008,Total Rape Victims,71,95,135,133,30,6,466,470
Delhi,2008,Victims of Incest Rape,2,12,8,10,1,4,37,37
Delhi,2008,Victims of Other Rape,69,83,127,123,29,2,429,433
Delhi,2009,Total Rape Victims,47,72,188,141,20,1,469,469
Delhi,2009,Victims of Incest Rape,3,3,5,6,2,0,19,19
Delhi,2009,Victims of Other Rape,44,69,183,135,18,1,450,450
Delhi,2010,Total Rape Victims,51,79,174,168,34,1,507,507
Delhi,2010,Victims of Incest Rape,6,11,3,1,0,0,21,21
Delhi,2010,Victims of Other Rape,45,68,171,167,34,1,486,486
Goa,2001,Total Rape Victims,3,7,1,0,1,0,12,12
Goa,2001,Victims of Incest Rape,0,0,0,0,0,0,0,0
Goa,2001,Victims of Other Rape,3,7,1,0,1,0,12,12
Goa,2002,Total Rape Victims,1,3,3,4,1,0,12,12
Goa,2002,Victims of Incest Rape,0,0,0,0,0,0,0,0
Goa,2002,Victims of Other Rape,1,3,3,4,1,0,12,12
Goa,2003,Total Rape Victims,6,9,8,7,2,0,31,32
Goa,2003,Victims of Incest Rape,0,0,0,0,0,0,0,0
Goa,2003,Victims of Other Rape,6,9,8,7,2,0,31,32
Goa,2004,Total Rape Victims,8,7,5,12,5,0,37,37
Goa,2004,Victims of Incest Rape,0,0,1,0,0,0,1,1
Goa,2004,Victims of Other Rape,8,7,4,12,5,0,36,36
Goa,2005,Total Rape Victims,4,4,7,4,1,0,20,20
Goa,2005,Victims of Incest Rape,1,0,0,0,0,0,1,1
Goa,2005,Victims of Other Rape,3,4,7,4,1,0,19,19
Goa,2006,Total Rape Victims,1,4,9,5,1,1,21,21
Goa,2006,Victims of Incest Rape,0,0,0,1,0,0,1,1
Goa,2006,Victims of Other Rape,1,4,9,4,1,1,20,20
Goa,2007,Total Rape Victims,4,4,7,4,1,0,20,20
Goa,2007,Victims of Incest Rape,0,0,1,0,0,0,1,1
Goa,2007,Victims of Other Rape,4,4,6,4,1,0,19,19
Goa,2008,Total Rape Victims,1,6,11,7,3,2,30,30
Goa,2008,Victims of Incest Rape,0,0,0,0,0,0,0,0
Goa,2008,Victims of Other Rape,1,6,11,7,3,2,30,30
Goa,2009,Total Rape Victims,1,11,21,15,2,0,47,50
Goa,2009,Victims of Incest Rape,0,0,1,0,0,0,1,1
Goa,2009,Victims of Other Rape,1,11,20,15,2,0,46,49
Goa,2010,Total Rape Victims,4,5,14,11,0,2,36,36
Goa,2010,Victims of Incest Rape,0,0,2,0,0,0,2,2
Goa,2010,Victims of Other Rape,4,5,12,11,0,2,34,34
Gujarat,2001,Total Rape Victims,15,23,87,125,36,0,286,286
Gujarat,2001,Victims of Incest Rape,0,0,2,0,0,0,2,2
Gujarat,2001,Victims of Other Rape,15,23,85,125,36,0,284,284
Gujarat,2002,Total Rape Victims,16,16,43,176,17,0,267,268
Gujarat,2002,Victims of Incest Rape,2,4,2,2,0,0,10,10
Gujarat,2002,Victims of Other Rape,14,12,41,174,17,0,257,258
Gujarat,2003,Total Rape Victims,17,17,46,143,13,0,236,236
Gujarat,2003,Victims of Incest Rape,1,0,3,3,0,0,7,7
Gujarat,2003,Victims of Other Rape,16,17,43,140,13,0,229,229
Gujarat,2004,Total Rape Victims,12,27,57,194,47,2,339,339
Gujarat,2004,Victims of Incest Rape,0,2,2,7,3,0,14,14
Gujarat,2004,Victims of Other Rape,12,25,55,187,44,2,325,325
Gujarat,2005,Total Rape Victims,18,28,44,218,16,0,324,324
Gujarat,2005,Victims of Incest Rape,2,4,5,8,0,0,19,19
Gujarat,2005,Victims of Other Rape,16,24,39,210,16,0,305,305
Gujarat,2006,Total Rape Victims,20,30,62,213,28,1,354,354
Gujarat,2006,Victims of Incest Rape,0,2,0,14,0,0,16,16
Gujarat,2006,Victims of Other Rape,20,28,62,199,28,1,338,338
Gujarat,2007,Total Rape Victims,18,30,51,180,37,1,316,317
Gujarat,2007,Victims of Incest Rape,1,0,1,0,1,0,3,3
Gujarat,2007,Victims of Other Rape,17,30,50,180,36,1,313,314
Gujarat,2008,Total Rape Victims,15,27,57,217,57,1,374,374
Gujarat,2008,Victims of Incest Rape,0,1,2,1,0,0,4,4
Gujarat,2008,Victims of Other Rape,15,26,55,216,57,1,370,370
Gujarat,2009,Total Rape Victims,15,27,50,308,32,1,433,433
Gujarat,2009,Victims of Incest Rape,1,2,3,10,2,0,18,18
Gujarat,2009,Victims of Other Rape,14,25,47,298,30,1,415,415
Gujarat,2010,Total Rape Victims,22,28,53,261,42,2,408,408
Gujarat,2010,Victims of Incest Rape,1,0,2,1,0,0,4,4
Gujarat,2010,Victims of Other Rape,21,28,51,260,42,2,404,404
Haryana,2001,Total Rape Victims,34,62,125,134,40,3,398,398
Haryana,2001,Victims of Incest Rape,0,0,0,0,0,0,0,0
Haryana,2001,Victims of Other Rape,34,62,125,134,40,3,398,398
Haryana,2002,Total Rape Victims,29,49,6,237,39,1,361,361
Haryana,2002,Victims of Incest Rape,0,6,3,39,4,0,52,52
Haryana,2002,Victims of Other Rape,29,43,3,198,35,1,309,309
Haryana,2003,Total Rape Victims,2,5,70,248,28,0,353,353
Haryana,2003,Victims of Incest Rape,0,0,3,11,0,0,14,14
